,preqin,score,unpri match,Firm Name,preqin_clean
2219,gapstow capital partners,0.8444444444444444,,Gapstow Capital Partners,gapstow capital partners
2220,prior & nilsson fond och kapital,0.6666666666666666,,Prior & Nilsson Fond Och Kapital,prior & nilsson fond och kapital
2221,aktie ansvar,0.8148148148148148,,Aktie Ansvar,aktie ansvar
2222,finaltis,0.6363636363636364,,Finaltis,finaltis
2223,energy industries superannuation scheme,0.9176470588235294,,Energy Industries Superannuation Scheme,energy industries superannuation scheme
2224,oreima,1.0,oreima,OREIMA,oreima
2225,kenedix group,0.7407407407407407,,Kenedix Group,kenedix group
2226,kaiser partner,0.7692307692307693,,Kaiser Partner,kaiser partner
2227,nch capital,0.8571428571428571,,NCH Capital,nch capital
2228,coatue management,0.7741935483870968,,Coatue Management,coatue management
2229,investinor,0.8695652173913043,,Investinor,investinor
2230,securis investment partners,0.9310344827586207,securis investment partners llp,Securis Investment Partners,securis investment partners
2231,ece real estate partners,0.7058823529411765,,ECE Real Estate Partners,ece real estate partners
2232,boston common,0.6046511627906976,,Boston Common,boston common
2233,novare investments,0.8484848484848485,,Novare Investments,novare investments
2234,iput,0.5454545454545454,,IPUT,iput
2235,boston partners,0.7878787878787878,,Boston Partners,boston partners
2236,blue sky private equity,0.7804878048780488,,Blue Sky Private Equity,blue sky private equity
2237,mineworkers pension scheme,0.7142857142857143,,Mineworkers Pension Scheme,mineworkers pension scheme
2238,shell netherlands pension fund,0.7213114754098361,,Shell Netherlands Pension Fund,shell netherlands pension fund
2239,j-star,0.5454545454545454,,J-Star,j-star
2240,j-star,0.5454545454545454,,J-Star,j-star
2241,jacob capital management,0.8695652173913043,,Jacob Capital Management,jacob capital management
2242,jacob capital management,0.8695652173913043,,Jacob Capital Management,jacob capital management
2243,temporis capital,0.8888888888888888,,Temporis Capital,temporis capital
2244,equinox funds,0.6666666666666666,,Equinox Funds,equinox funds
2245,ortus capital management,0.875,,Ortus Capital Management,ortus capital management
2246,henley property investments,0.723404255319149,,Henley Property Investments,henley property investments
2247,ironwood capital management,0.8627450980392157,,Ironwood Capital Management,ironwood capital management
2248,siraj fund management,0.8571428571428571,,Siraj Fund Management,siraj fund management
2249,national employment savings trust (nest),1.0,national employment savings trust (nest),National Employment Savings Trust (NEST),national employment savings trust (nest)
2250,norges bank investment management,0.8333333333333334,,Norges Bank Investment Management,norges bank investment management
2251,south suez capital,0.9,,South Suez Capital,south suez capital
2252,union mutualiste retraite (umr),0.5573770491803278,,Union Mutualiste Retraite (UMR),union mutualiste retraite (umr)
2253,icon infrastructure,0.9047619047619048,,iCON Infrastructure,icon infrastructure
2254,causeway capital management,0.9310344827586207,causeway capital management llc,Causeway Capital Management,causeway capital management
